time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/std
2,96256,4.0,0.37121493000000005,196608,"continuous",263,15,0.127587890625,0.9571347199380398,0.009740759,0.0004347165459535063,-0.012173310853540897,0.2,-3.7935447573661802,0.0022584966412978248,0.0003,460,0.8983981013298035
3,98304,4.0,0.37291785999999993,198656,"continuous",262,23,0.18232421875,0.9808829594403505,0.009407727,0.0003064909094618429,-0.027834614738821983,0.2,-3.800402709841728,-0.0033695855978294275,0.0003,470,0.9073212146759033
4,100352,4.0,0.37029112999999997,200704,"continuous",262,31,0.14140625,0.9642579331994057,0.0117441155,0.000363102794938186,-0.013892021961510181,0.2,-3.7938908100128175,-0.005775159895711113,0.0003,480,0.9023979306221008
5,102400,4.0,0.3701515800000001,202752,"continuous",258,39,0.191796875,0.9754035323858261,0.018439386,0.000246149086621017,0.03480701893568039,0.2,-3.7716308876872064,-0.0010346189112169669,0.0003,490,0.898651123046875
1,104448,4.0,0.37304996999999995,215040,"continuous",245,8,0.1439453125,0.9669792763888836,0.010118268,0.00032633093375764586,0.0068166665732860565,0.2,-3.753348622471094,0.0035465468077745753,0.0003,500,0.8988756537437439
2,106496,4.0,0.36612229,217088,"continuous",245,16,0.2087890625,0.9842694792896509,0.012713624,0.00017296550887095917,-0.053190603852272034,0.2,-3.7393261194229126,-0.005714386027830187,0.0003,510,0.8907700181007385
3,108544,4.0,0.3712321599999999,219136,"continuous",248,24,0.20205078125,0.9438183754682541,0.011966124,0.0006310791558490792,-0.0136736910790205,0.2,-3.7165719591081143,-0.007124901565839536,0.0003,520,0.886848509311676
4,110592,4.0,0.37051913,221184,"continuous",248,32,0.1943359375,0.9570548012852669,0.015037576,0.0004894728676191562,-0.005183225031942129,0.2,-3.714100608229637,0.0007039254451228771,0.0003,530,0.8943621516227722
5,112640,4.0,0.36689437,223232,"continuous",248,41,0.181884765625,0.9757270347326994,0.017824775,0.00023706515937220728,-0.004471187945455313,0.2,-3.7121158964931964,-0.0007932558699394576,0.0003,540,0.8936417698860168
1,114688,4.0,0.37241910999999994,235520,"continuous",271,7,0.146484375,0.9568391107022762,0.010182289,0.0004468062882324375,-0.016511837020516396,0.2,-3.691631764918566,0.001104186615702929,0.0003,550,0.8887092471122742
