custom/pamdp_timestep,custom/agent_type,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,
71680,continuous,4.4,0.26592358,313,1,6,32768,0.013355294,0.183837891,0.2,-4.290484534,0.5411633253097530,0.0003,-0.027871175,150,-0.016335315,0.003986169,1.0131902694702100
73728,continuous,4.52,0.27959894,304,2,13,34816,0.011950759,0.161083984,0.2,-4.285116683,0.700324148,0.0003,-0.033783499,160,-0.015804916,0.002279029,1.0083208084106400
75776,continuous,4.26,0.29,292,3,21,36864,0.014726036,0.170507813,0.2,-4.292529579,0.7773787975311280,0.0003,-0.009483902,170,-0.017619565,0.001870653,1.015198826789860
77824,continuous,4.33,0.29913606,286,4,28,38912,0.014800261,0.175292969,0.2,-4.30848828,0.7670248299837110,0.0003,-0.042916998,180,-0.021846627,0.001894314,1.0196634531021100
79872,continuous,4.13,0.29,283,5,36,40960,0.01589707,0.206738281,0.2,-4.317037341,0.7868305891752240,0.0003,-0.03792619,190,-0.026153246,0.001813602,1.0202964544296300
81920,discrete,4.05,0.31,281,1,7,43008,0.003323661,0.034765625,0.2,-0.103752592,0.724329799,0.0003,5.6917779147625E-05,200,-0.005005352,0.002264444,
83968,discrete,4.08,0.32,276,2,14,45056,0.002769323,0.017041016,0.2,-0.056402664,0.7786216884851460,0.0003,0.018255850300192800,210,-0.000583227,0.001846686,
86016,discrete,4.17,0.30964671,277,3,22,47104,0.004490483,0.012695313,0.2,-0.054527957,0.7872354686260220,0.0003,-0.000795025,220,0.002773806,0.001797608,
88064,discrete,4.1,0.31688587,268,4,30,49152,0.003707318,0.022558594,0.2,-0.064197066,0.819812223,0.0003,0.002462328,230,0.002415899,0.001514382,
90112,discrete,4.1,0.31,271,5,37,51200,0.001686783,0.018261719,0.2,-0.059569915,0.8200029730796810,0.0003,-0.001171801,240,0.001517859,0.00150564,
92160,continuous,4.09,0.31400829,283,1,7,43008,0.014065906,0.179296875,0.2,-4.282591787,0.7718124240636830,0.0003,0.016505450010299700,200,-0.026041364,0.001971197,1.0002789497375500
94208,continuous,4.09,0.32,263,2,15,45056,0.018752899,0.208007813,0.2,-4.223161472,0.800129622,0.0003,-0.046742059,210,-0.032582198,0.001702074,0.981048584
96256,continuous,4.03,0.33003444,262,3,23,47104,0.01760947,0.226513672,0.2,-4.180245854,0.8400403410196300,0.0003,-0.030215941,220,-0.036088493,0.001364875,0.9699409008026120
98304,continuous,4.02,0.34,262,4,31,49152,0.017718915,0.187451172,0.2,-4.131875683,0.8829731196165090,0.0003,-0.023630463,230,-0.032734266,0.000957969,0.9527873992919920
100352,continuous,4,0.35417169,259,5,39,51200,0.01480172,0.189208984,0.2,-4.071139486,0.9201400279998780,0.0003,-0.058351737,240,-0.035982525,0.000682202,0.9340165257453920
102400,discrete,4,0.35828139,259,1,7,53248,0.00064153,0.016259766,0.2,-0.063417578,0.791831374,0.0003,0.007601179,250,0.000477262,0.001793947,
104448,discrete,3.87,0.25,312,2,13,55296,0.25396144,0.332666016,0.2,-0.210507163,0.9649248011410240,0.0003,-0.069033884,260,-0.047141804,0.00021514,
106496,discrete,3.91,0.27871494,320,3,19,57344,0.0673431,0.280712891,0.2,-0.239305946,0.5844751596450810,0.0003,-0.054777507,270,-0.046206312,0.004501075,
