custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
,,1.0,-6.785650759999999,239616,471040,,,5,"discrete",3,1073,0.0,0.0003,0.0,0.2,0.131961390376091,0.3448779403232038,1160,-0.00028910377568536205,0.0,-2.0954757928848267e-10
39,"PPO-PPO",1.0,-6.8113303100000016,241664,479232,1,"Goal-v0",1,"discrete",1,1224,0.0,0.0003,0.0,0.2,0.18039758503437042,0.33826779993250966,1170,-0.00028911378294651515,0.0,-1.1263182386755944e-09
,,1.0,-6.69892042,243712,481280,,,3,"discrete",2,1095,0.0,0.0003,0.0,0.2,0.15147723257541656,0.36196631491184234,1180,-0.0002891183722567803,0.0,7.39237293601036e-10
,,1.0,-6.840937540000001,245760,483328,,,5,"discrete",3,1080,0.0,0.0003,0.0,0.2,0.15052127838134766,0.3462536186911166,1190,-0.0002891073472710559,0.0,-6.024492904543876e-10
40,"PPO-PPO",1.0,-6.77317794,247808,491520,1,"Goal-v0",1,"discrete",1,1158,0.0,0.0003,5.960464477539063e-08,0.2,0.16378645598888397,0.3432012605946511,1200,-0.00028906639972774427,0.0,-4.802132025361061e-10
,,1.0,-6.76043808,249856,493568,,,3,"discrete",2,1100,0.0,0.0003,0.0,0.2,0.12107817828655243,0.3546069310046732,1210,-0.0002890723605560197,0.0,-1.0622898116707802e-10
,,1.0,-6.6968007,251904,495616,,,5,"discrete",3,1074,0.0,0.0003,0.0,0.2,0.164445698261261,0.3466109637636691,1220,-0.0002890518518142926,0.0,-5.835318006575108e-10
41,"PPO-PPO",1.0,-6.76845442,253952,503808,1,"Goal-v0",1,"discrete",1,1158,0.00026961125,0.0003,0.0,0.2,0.18122142553329468,0.35154734663665294,1230,-0.0005448067307042947,0.000390625,1.2961136235389858e-06
,,1.0,-6.7333171300000005,256000,505856,,,3,"discrete",2,1091,0.0,0.0003,5.960464477539063e-08,0.2,0.14681555330753326,0.33966333805583415,1240,-0.0006383008720149518,0.0,7.661583367735147e-10
,,1.0,-6.783908159999998,258048,507904,,,5,"discrete",3,1055,0.0,0.0003,-1.1920928955078125e-07,0.2,0.14353501796722412,0.3662736412603408,1250,-0.0006383002077200217,0.0,-1.340231392532587e-09
42,"PPO-PPO",1.0,-6.7840485,260096,516096,1,"Goal-v0",2,"discrete",1,967,0.0,0.0003,5.960464477539063e-08,0.2,0.18851681053638458,0.34773071119561794,1260,-0.0006382994673913345,0.0,-4.69299266114831e-10
,,1.0,-6.815876460000001,262144,518144,,,4,"discrete",2,871,0.0,0.0003,0.0,0.2,0.18471135199069977,0.3468737209681422,1270,-0.000638299670208653,0.0,2.168235369026661e-10
,,1.0,-6.80401445,264192,520192,,,7,"discrete",3,869,0.0,0.0003,-1.1920928955078125e-07,0.2,0.20810356736183167,0.3512771196197718,1280,-0.0006383004321833142,0.0,1.095759216696024e-09
43,"PPO-PPO",1.0,-6.730911140000001,266240,528384,1,"Goal-v0",2,"discrete",1,974,0.0002278559,0.0003,5.960464477539063e-08,0.2,0.1788521707057953,0.34643636238761244,1290,-0.0002535557926876209,0.000439453125,-6.633382945437915e-05
,,1.0,-6.662293299999999,268288,530432,,,4,"discrete",2,884,0.0,0.0003,-1.1920928955078125e-07,0.2,0.141575887799263,0.3624388971365988,1300,-0.00023089803862603732,0.0,1.7462298274040222e-10
,,1.0,-6.65374793,270336,532480,,,7,"discrete",3,865,0.0,0.0003,0.0,0.2,0.1721930056810379,0.3392211014870554,1310,-0.00023089803289622068,0.0,7.261405698955059e-10
44,"PPO-PPO",1.0,-6.726947779999998,272384,540672,1,"Goal-v0",2,"discrete",1,986,0.0,0.0003,0.0,0.2,0.15274293720722198,0.3496912382543087,1320,-0.00023089803289622068,0.0,-9.007635526359081e-10
,,1.0,-6.757562419999999,274432,542720,,,4,"discrete",2,911,0.0,0.0003,-1.1920928955078125e-07,0.2,0.1546110063791275,0.3776525981258601,1330,-0.00023089803289622068,0.0,-1.6898411558941008e-10
,,1.0,-6.83407268,276480,544768,,,6,"discrete",3,892,0.0,0.0003,0.0,0.2,0.19145548343658447,0.36080959588289263,1340,-0.00023089810379133268,0.0,6.693881005048752e-10
45,"PPO-PPO",1.0,-6.72347267,278528,552960,1,"Goal-v0",2,"discrete",1,981,0.0,0.0003,0.0,0.2,0.15500986576080322,0.34949310664087535,1350,-0.0002308980246198189,0.0,-2.1143932826817037e-09
,,1.0,-6.70115504,280576,555008,,,4,"discrete",2,896,0.0,0.0003,0.0,0.2,0.1896156519651413,0.3542689142283052,1360,-0.0002308979297595215,0.0,-9.509676601737737e-10
,,1.0,-6.740899690000001,282624,557056,,,6,"discrete",3,892,0.0,0.0003,-1.1920928955078125e-07,0.2,0.1910124570131302,0.35020200042054056,1370,-0.0002308973985236662,0.0,3.055902197957039e-11
46,"PPO-PPO",1.0,-6.728434589999998,284672,565248,1,"Goal-v0",2,"discrete",1,958,0.0,0.0003,0.0,0.2,0.12683218717575073,0.3392263882327825,1380,-0.000230894773358159,0.0,6.439222488552332e-10
,,1.0,-6.683641799999999,286720,567296,,,4,"discrete",2,893,0.0,0.0003,-1.1920928955078125e-07,0.2,0.15932346880435944,1.9265618304722012,1390,-0.00023089209612408012,0.0,-1.3096723705530167e-11
,,1.0,-6.74904796,288768,569344,,,7,"discrete",3,876,0.0,0.0003,0.0,0.2,0.14958740770816803,0.3367370028980076,1400,-0.00023089258993422846,0.0,-1.469743438065052e-10
47,"PPO-PPO",1.0,-6.6933763299999995,290816,577536,1,"Goal-v0",2,"discrete",1,1020,0.0,0.0003,0.0,0.2,0.16174796223640442,0.3457292674575001,1410,-0.00023089380297278695,0.0,2.371962182223797e-10
,,1.0,-6.696372829999999,292864,579584,,,4,"discrete",2,919,0.0,0.0003,0.0,0.2,0.17933914065361023,0.3389566399622709,1420,-0.00023089745636752922,0.0,3.8853613659739493e-10
,,1.0,-6.85954968,294912,581632,,,6,"discrete",3,886,0.0,0.0003,0.0,0.2,0.21982735395431519,0.341360199637711,1430,-0.00023089816722858813,0.0,2.0372681319713593e-10
48,"PPO-PPO",1.0,-6.77148499,296960,589824,1,"Goal-v0",2,"discrete",1,1023,0.0,0.0003,-1.1920928955078125e-07,0.2,0.24001243710517883,0.3609081360977143,1440,-0.00023089870960575355,0.0,-1.5483237802982331e-09
,,1.0,-6.821325819999999,299008,591872,,,4,"discrete",2,943,0.0002451188,0.0003,5.960464477539063e-08,0.2,0.21351377665996552,0.34264940503053365,1450,-9.069050622656505e-05,0.000439453125,-6.147005406091921e-05
,,1.0,-6.663701249999998,301056,593920,,,6,"discrete",3,907,0.0,0.0003,0.0,0.2,0.1581580489873886,0.3425884593743831,1460,-8.046422590268776e-05,0.0,-9.691575542092322e-10
49,"PPO-PPO",1.0,-6.749699810000001,303104,602112,1,"Goal-v0",1,"discrete",1,1030,0.0,0.0003,-1.1920928955078125e-07,0.2,0.19128639996051788,0.3292178648058325,1470,-8.046422590268776e-05,0.0,-9.051291272044182e-10
,,1.0,-6.73965404,305152,604160,,,4,"discrete",2,935,0.0,0.0003,-1.1920928955078125e-07,0.2,0.16653409600257874,0.3351173855829984,1480,-8.046422590268776e-05,0.0,-1.0870280675590039e-09
,,1.0,-6.812816260000001,307200,606208,,,6,"discrete",3,918,0.0,0.0003,0.0,0.2,0.175354465842247,0.3684428751002997,1490,-8.046422590268776e-05,0.0,-9.160430636256934e-10
50,"PPO-PPO",1.0,-6.75797969,309248,614400,1,"Goal-v0",1,"discrete",1,1026,0.0,0.0003,0.0,0.2,0.18907421827316284,0.3574286094401032,1500,-8.046418633966823e-05,0.0,2.232263796031475e-09
,,1.0,-6.75842129,311296,616448,,,4,"discrete",2,899,0.0,0.0003,0.0,0.2,0.10424162447452545,0.35100324363447727,1510,-8.046427674344159e-05,0.0,1.1685187928378582e-09
,,1.0,-6.721806640000002,313344,618496,,,6,"discrete",3,884,0.0,0.0003,1.7881393432617188e-07,0.2,0.20035386085510254,0.3534793188329786,1520,-8.046428411034867e-05,0.0,1.6400008462369442e-09
51,"PPO-PPO",1.0,-6.6573181,315392,626688,1,"Goal-v0",1,"discrete",1,1038,0.0,0.0003,0.0,0.2,0.23978862166404724,0.3683525541331619,1530,-8.046432765240752e-05,0.0,-4.5838532969355583e-10
,,1.0,-6.852405930000001,317440,628736,,,4,"discrete",2,948,0.0,0.0003,0.0,0.2,0.18724790215492249,1.9285518108401447,1540,-8.046476498293486e-05,0.0,2.8958311304450033e-10
,,1.0,-6.657307480000001,319488,630784,,,6,"discrete",3,928,0.0,0.0003,5.960464477539063e-08,0.2,0.24979165196418762,0.33883632156066595,1550,-8.046513078170392e-05,0.0,6.679329089820385e-10
52,"PPO-PPO",1.0,-6.76626613,321536,638976,1,"Goal-v0",1,"discrete",1,1026,0.0,0.0003,0.0,0.2,0.17076517641544342,0.36672559324651954,1560,-8.046566524626542e-05,0.0,-7.203198038041592e-10
,,1.0,-6.78399769,323584,641024,,,4,"discrete",2,940,0.0,0.0003,0.0,0.2,0.13415643572807312,0.3603095151949674,1570,-8.046577038385294e-05,0.0,-1.0186340659856796e-11
,,1.0,-6.621620080000001,325632,643072,,,6,"discrete",3,913,0.0,0.0003,0.0,0.2,0.2035396844148636,0.3425557784736156,1580,-8.046652458233438e-05,0.0,-7.028575055301189e-10
53,"PPO-PPO",1.0,-6.78077499,327680,651264,1,"Goal-v0",2,"discrete",1,972,0.0,0.0003,5.960464477539063e-08,0.2,0.14894209802150726,0.34357021674513816,1590,-8.046616949286545e-05,0.0,5.049514584243298e-10
,,1.0,-6.683838400000001,329728,653312,,,4,"discrete",2,892,0.0,0.0003,-1.1920928955078125e-07,0.2,0.1483534276485443,1.9152030415367336,1600,-8.046699495025677e-05,0.0,-6.83940015733242e-10
,,1.0,-6.6037992999999995,331776,655360,,,7,"discrete",3,864,0.0,0.0003,0.0,0.2,0.12125823646783829,0.3332776220981032,1610,-8.046753018788876e-05,0.0,-1.266016624867916e-10
54,"PPO-PPO",1.0,-6.63439242,333824,663552,1,"Goal-v0",2,"discrete",1,1009,0.0,0.0003,0.0,0.2,0.23704993724822998,0.3528059516567737,1620,-8.046706921049918e-05,0.0,1.0331859812140464e-10
,,1.0,-6.60651177,335872,665600,,,4,"discrete",2,926,0.0,0.0003,0.0,0.2,0.22255977988243103,0.3748942932114005,1630,-8.046816249134281e-05,0.0,9.022187441587448e-11
,,1.0,-6.734933729999999,337920,667648,,,6,"discrete",3,905,0.0,0.0003,0.0,0.2,0.1843433827161789,0.3704252726398408,1640,-8.046915220347728e-05,0.0,-4.045432433485985e-10
55,"PPO-PPO",1.0,-6.65730701,339968,675840,1,"Goal-v0",2,"discrete",1,994,0.0,0.0003,0.0,0.2,0.1497219204902649,0.3567514527589083,1650,-8.046874772844603e-05,0.0,6.5483618527650835e-12
,,1.0,-6.688309909999999,342016,677888,,,4,"discrete",2,925,0.0,0.0003,5.960464477539063e-08,0.2,0.20053428411483765,1.9352873214520514,1660,-8.047300564157922e-05,0.0,-1.7753336578607558e-10
,,1.0,-6.60858956,344064,679936,,,6,"discrete",3,903,0.0,0.0003,0.0,0.2,0.20889444649219513,0.355026536481455,1670,-8.047279784477724e-05,0.0,1.4551915228366852e-09
56,"PPO-PPO",1.0,-6.7632654500000005,346112,688128,1,"Goal-v0",2,"discrete",1,1002,0.0,0.0003,0.0,0.2,0.14764776825904846,0.35704094781540335,1680,-8.047153824009001e-05,0.0,-9.051291272044182e-10
,,1.0,-6.67531962,348160,690176,,,4,"discrete",2,932,0.0,0.0003,0.0,0.2,0.1953422874212265,0.35194287630729376,1690,-8.04702969844584e-05,0.0,5.449692253023386e-10
,,1.0,-6.645510680000001,350208,692224,,,6,"discrete",3,905,0.0,0.0003,0.0,0.2,0.2094104290008545,0.3659540669526905,1700,-8.046919147091103e-05,0.0,-1.631269697099924e-09
57,"PPO-PPO",1.0,-6.736242709999999,352256,700416,1,"Goal-v0",1,"discrete",1,1055,0.0,0.0003,0.0,0.2,0.19212864339351654,0.3502299113199115,1710,-8.046723703500903e-05,0.0,9.997165761888028e-10
,,1.0,-6.73426524,354304,702464,,,4,"discrete",2,941,0.0,0.0003,0.0,0.2,0.15306617319583893,0.35386703847907486,1720,-8.046690766150277e-05,0.0,-1.178705133497715e-09
,,1.0,-6.695793599999999,356352,704512,,,6,"discrete",3,904,0.0,0.0003,-1.1920928955078125e-07,0.2,0.1737871766090393,0.3574823330156505,1730,-8.047256546888093e-05,0.0,8.141796570271254e-10
58,"PPO-PPO",1.0,-6.700345759999999,358400,712704,1,"Goal-v0",2,"discrete",1,986,0.0,0.0003,0.0,0.2,0.16034235060214996,0.3677450562827289,1740,-8.0477496567255e-05,0.0,-6.60656951367855e-10
,,1.0,-6.67446919,360448,714752,,,4,"discrete",2,914,0.0,0.0003,-1.1920928955078125e-07,0.2,0.18610946834087372,0.3725220799911767,1750,-8.048027602853835e-05,0.0,-1.4893885236233472e-09
,,1.0,-6.74834045,362496,716800,,,6,"discrete",3,884,0.0,0.0003,-1.1920928955078125e-07,0.2,0.16990873217582703,0.37341554295271634,1760,-8.048122742820851e-05,0.0,1.2732925824820995e-10
