custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
9,"PPO-PPO",1.0,-6.942213410000001,57344,110592,1,"Goal-v0",1,"discrete",1,1230,0.00023502661,0.0003,1.1920928955078125e-07,0.2,0.07215271145105362,0.13329184118192644,270,-0.045121374842710796,0.003857421875,-0.00025053576100617645
,,1.0,-6.84085269,59392,112640,,,3,"discrete",2,1142,0.00013925554,0.0003,-1.1920928955078125e-07,0.2,0.06413552910089493,0.1478966187685728,280,-0.037325492198579016,0.00283203125,-0.00023411358706653117
,,1.0,-6.87848722,61440,114688,,,5,"discrete",3,1094,0.00015598573,0.0003,1.1920928955078125e-07,0.2,0.07255025953054428,0.1457332317950204,290,-0.029499511542962865,0.00361328125,-0.00032811690762173383
10,"PPO-PPO",1.0,-6.873322400000001,63488,122880,1,"Goal-v0",1,"discrete",1,1224,9.923012e-05,0.0003,-1.1920928955078125e-07,0.2,0.08735595643520355,0.15080512014683337,300,-0.022729313635500147,0.002392578125,-0.00022171278396854177
,,1.0,-6.90776129,65536,124928,,,3,"discrete",2,1122,0.00020436072,0.0003,0.0,0.2,0.0860939621925354,0.14604570374358444,310,-0.017019377124961467,0.003076171875,-0.000391458701051306
,,1.0,-6.940601350000001,67584,126976,,,5,"discrete",3,1073,5.1334704e-05,0.0003,0.0,0.2,0.047265224158763885,0.13691097365226595,320,-0.014084282531985081,0.001171875,-6.769704341422767e-05
11,"PPO-PPO",1.0,-6.8757898299999995,69632,135168,1,"Goal-v0",1,"discrete",1,1216,3.7887425e-05,0.0003,0.0,0.2,0.06156811863183975,0.13983351516071707,330,-0.016847454811795615,0.001123046875,-3.998196916654706e-05
,,1.0,-6.8908163999999985,71680,137216,,,3,"discrete",2,1114,1.1682307e-05,0.0003,0.0,0.2,0.0767165943980217,0.1561388208065182,340,-0.013800317939603702,0.000341796875,-5.030641914345324e-05
,,1.0,-6.887766859999999,73728,139264,,,5,"discrete",3,1099,6.57879e-05,0.0003,0.0,0.2,0.06216444820165634,0.1568810210796073,350,-0.010435167970717885,0.001318359375,-0.00023609731142641975
12,"PPO-PPO",1.0,-6.895542930000001,75776,147456,1,"Goal-v0",1,"discrete",1,1197,4.321229e-05,0.0003,-1.1920928955078125e-07,0.2,0.06858141720294952,0.15462893608491868,360,-0.009250297240214422,0.00068359375,7.745872426312417e-06
,,1.0,-6.8098138200000005,77824,149504,,,3,"discrete",2,1083,6.7217916e-05,0.0003,-1.1920928955078125e-07,0.2,0.08558445423841476,0.1616503783967346,370,-0.007154955000441987,0.00126953125,-0.00017315332079306244
,,1.0,-6.921249509999999,79872,151552,,,5,"discrete",3,1042,3.74667e-05,0.0003,0.0,0.2,0.0783744528889656,0.15886584336403758,380,-0.005912741136853583,0.00068359375,7.47095764381811e-05
13,"PPO-PPO",1.0,-6.957007000000001,81920,159744,1,"Goal-v0",1,"discrete",1,1195,0.0,0.0003,0.0,0.2,0.05420562997460365,0.15754109411500394,390,-0.0049166942713782195,0.0,1.0877556633204221e-10
,,1.0,-6.912226720000002,83968,161792,,,3,"discrete",2,1106,2.1528656e-05,0.0003,0.0,0.2,0.06064892187714577,0.17949271006509662,400,-0.0038491092811455017,0.000390625,-6.489905208582059e-05
,,1.0,-6.905147459999999,86016,163840,,,5,"discrete",3,1081,0.0,0.0003,0.0,0.2,0.10980343818664551,0.16778856876771897,410,-0.0037321057432563977,0.0,-1.1335941962897778e-09
14,"PPO-PPO",1.0,-6.9128788,88064,172032,1,"Goal-v0",1,"discrete",1,1234,2.8443465e-05,0.0003,0.0,0.2,0.09237311035394669,0.16872370685450733,420,-0.004501697090745438,0.000537109375,9.939016308635473e-06
,,1.0,-6.9036017,90112,174080,,,3,"discrete",2,1121,0.0042780573,0.0003,0.11035984754562378,0.2,0.09266693145036697,0.28575767984148115,430,-0.005375758755690185,0.003515625,-0.003471075790002942
,,1.0,-6.85706138,92160,176128,,,5,"discrete",3,1054,0.0,0.0003,5.960464477539063e-08,0.2,0.07888360321521759,0.18547116082627327,440,-0.004345428977103438,0.0,-5.355104804039001e-10
15,"PPO-PPO",1.0,-6.939206220000001,94208,184320,1,"Goal-v0",1,"discrete",1,1210,1.3447658e-05,0.0003,0.0,0.2,0.10976353287696838,0.17874156623147427,450,-0.00397673197221593,4.8828125e-05,-9.462976595386863e-06
,,1.0,-6.92865567,96256,186368,,,3,"discrete",2,1104,0.0,0.0003,0.0,0.2,0.08677646517753601,0.17726802767720073,460,-0.0035074302038992757,0.0,3.0267983675003053e-10
,,1.0,-6.891710699999999,98304,188416,,,5,"discrete",3,1074,0.0,0.0003,5.960464477539063e-08,0.2,0.09151993691921234,0.18437431605998428,470,-0.0035074204206466675,0.0,5.165929906070232e-10
16,"PPO-PPO",1.0,-6.8408587,100352,196608,1,"Goal-v0",1,"discrete",1,1247,3.816519e-05,0.0003,0.0,0.2,0.11432045698165894,0.20335281232837588,480,-0.002567251904838486,0.000390625,-5.141176952747628e-05
,,1.0,-6.891376700000002,102400,198656,,,3,"discrete",2,1132,3.7197547e-05,0.0003,5.960464477539063e-08,0.2,0.09502801299095154,0.20327722227666528,490,-0.0017270628086407669,0.000439453125,-7.710745994700119e-05
,,1.0,-6.86506686,104448,200704,,,5,"discrete",3,1101,0.0,0.0003,-1.1920928955078125e-07,0.2,0.1117396131157875,0.20159538062289356,500,-0.0016723878397897352,0.0,-8.047209121286869e-10
17,"PPO-PPO",1.0,-6.93861626,106496,208896,1,"Goal-v0",1,"discrete",1,1166,0.0,0.0003,0.0,0.2,0.08445891737937927,0.20555075127631425,510,-0.0016723878215998411,0.0,-1.1714291758835316e-09
,,1.0,-6.81030026,108544,210944,,,3,"discrete",2,1106,0.00033358202,0.0003,0.0,0.2,0.07400757819414139,0.22546240966767073,520,-0.0037402696958451997,0.000439453125,-0.00019486846140353008
,,1.0,-6.85340832,110592,212992,,,5,"discrete",3,1085,8.721452e-05,0.0003,-1.1920928955078125e-07,0.2,0.09506435692310333,0.20860866433940828,530,-0.0030616252814070323,0.00068359375,-2.9934705526102335e-05
18,"PPO-PPO",1.0,-6.864303829999999,112640,221184,1,"Goal-v0",1,"discrete",1,1220,0.0,0.0003,0.0,0.2,0.11457820236682892,0.21937746950425208,540,-0.0027195034599571954,0.0,-8.563802111893892e-10
,,1.0,-6.832746070000001,114688,223232,,,3,"discrete",2,1088,0.0,0.0003,0.0,0.2,0.10180144011974335,0.21412135276477784,550,-0.0027234500739723444,0.0,8.934875950217247e-10
