time/total_timesteps,custom/cycle,rollout/ep_rew_mean,time/iterations,custom/pamdp_timestep,custom/seed,time/time_elapsed,custom/agent_name,time/fps,custom/agent_type,custom/env,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/loss
2048,0,-8.791608640000002,1,2048,1,2,"PPO-PPO",701,"continuous","Goal-v0",1.43,,,,,,,,,,,
4096,1,-8.91713975,1,6144,1,2,"PPO-PPO",710,"continuous","Goal-v0",1.45,-5.66152126789093,0.02492392063140869,10,0.0072995424,0.9932305812835693,-0.006160723858920391,0.0003,0.2,33.487161023914815,0.066943359375,6.089071750640869
6144,2,-9.65613016,1,10240,1,2,"PPO-PPO",731,"continuous","Goal-v0",1.47,-5.6449938178062435,0.2156183123588562,20,0.007050081,0.9928961992263794,-0.00972964648681227,0.0003,0.2,8.98021079301834,0.0705078125,4.995988845825195
8192,3,-8.36831602,1,14336,1,2,"PPO-PPO",691,"continuous","Goal-v0",1.23,-5.653637650609016,0.4694560766220093,30,0.0072063673,0.9950281381607056,-0.007142798007407691,0.0003,0.2,7.111183017492294,0.0666015625,2.7167725563049316
10240,4,-8.45657239,1,18432,1,2,"PPO-PPO",685,"continuous","Goal-v0",1.22,-5.657768921554089,0.5017630457878113,40,0.0047082673,0.9964706897735596,-0.004965286840160843,0.0003,0.2,7.057807514816522,0.05810546875,4.012358665466309
12288,5,-8.026085179999999,1,22528,1,2,"PPO-PPO",713,"continuous","Goal-v0",1.25,-5.652179358899593,0.592932254076004,50,0.008697394,0.9931635856628418,-0.008916714957740624,0.0003,0.2,5.851961771398782,0.091357421875,2.01798152923584
14336,6,-8.135268040000001,1,26624,1,2,"PPO-PPO",728,"continuous","Goal-v0",1.21,-5.642404693365097,0.6235785484313965,60,0.011301087,0.9909564852714539,-0.00831799770166981,0.0003,0.2,5.679323853179812,0.1630859375,1.2066823244094849
16384,7,-7.68487998,1,30720,1,2,"PPO-PPO",739,"continuous","Goal-v0",1.11,-5.640259838104248,0.5703246891498566,70,0.008655697,0.9900286197662354,-0.008549064910039306,0.0003,0.2,5.309953847527504,0.100146484375,3.9369044303894043
18432,8,-7.9208051,1,34816,1,2,"PPO-PPO",714,"continuous","Goal-v0",1.12,-5.634441016614437,0.5545492470264435,80,0.014521217,0.9904989004135132,-0.007448061207833234,0.0003,0.2,5.2420706082135435,0.175048828125,3.491657257080078
20480,9,-8.545044359999999,1,38912,1,2,"PPO-PPO",683,"continuous","Goal-v0",1.23,-5.617279960215091,0.5763459205627441,90,0.010955082,0.9813754558563232,-0.009948884730692952,0.0003,0.2,5.857282441109419,0.1451171875,3.942568063735962
22528,10,-8.17516222,1,43008,1,2,"PPO-PPO",731,"continuous","Goal-v0",1.15,-5.599398173391819,0.666968047618866,100,0.008633361,0.9822720885276794,-0.009263016858312767,0.0003,0.2,5.2264238554984335,0.125927734375,3.911207914352417
24576,11,-7.994496590000001,1,47104,1,2,"PPO-PPO",754,"continuous","Goal-v0",1.1,-5.612575905025006,0.5963699519634247,110,0.019212369,0.9881554841995239,-0.010017103649443016,0.0003,0.2,5.40906396843493,0.194677734375,3.2992634773254395
26624,12,-7.61240238,1,51200,1,2,"PPO-PPO",743,"continuous","Goal-v0",1.08,-5.618104460835457,0.618450790643692,120,0.01324733,0.9823442101478577,-0.007471398864799994,0.0003,0.2,5.080936458706856,0.16845703125,0.9863026142120361
28672,13,-7.53654427,1,55296,1,2,"PPO-PPO",758,"continuous","Goal-v0",1.09,-5.594816155731678,0.5814412236213684,130,0.015717624,0.9786208868026733,-0.005314863826060901,0.0003,0.2,4.494308881089092,0.164892578125,2.5714709758758545
30720,14,-7.983106190000002,1,59392,1,2,"PPO-PPO",697,"continuous","Goal-v0",1.15,-5.576911377906799,0.4118918180465698,140,0.010331703,0.9737393856048584,-0.007417692001035902,0.0003,0.2,10.263529508560897,0.143408203125,2.367666244506836
