custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
,,1.51,-8.84744342,22528,45056,,,6,"continuous",2,660,0.008499382,0.0003,0.6918661594390869,0.2,1.333866834640503,1.0104931592941284,6.1702224524691704,100,-5.71612851023674,0.14326171875,-0.00984329193161102
,,1.43,-8.87816044,24576,47104,,,9,"continuous",3,651,0.013654394,0.0003,0.6261392533779144,0.2,4.724755764007568,1.007104516029358,7.546178331226111,110,-5.70826426744461,0.165966796875,-0.009528480763401603
4,"PPO-PPO",2.36,-8.400518,26624,55296,1,"Goal-v0",3,"continuous",1,662,0.017494842,0.0003,0.6220929324626923,0.2,4.39558744430542,1.0068012475967407,7.574147436022758,120,-5.699927066266537,0.214697265625,-0.013178244065784384
,,1.73,-7.59570738,28672,57344,,,5,"continuous",2,690,0.009434356,0.0003,0.4895360469818115,0.2,5.841817378997803,1.0012030601501465,16.6847720451653,130,-5.686067751049995,0.132958984375,-0.01082779683638364
,,2.1,-9.233858840000002,30720,59392,,,8,"continuous",3,696,0.0131666325,0.0003,0.5045751631259918,0.2,2.64837384223938,1.0032014846801758,16.009820809960367,140,-5.680267284810543,0.14580078125,-0.007954992915620096
5,"PPO-PPO",1.91,-8.97527493,32768,67584,1,"Goal-v0",2,"continuous",1,764,0.0102991685,0.0003,0.6032466292381287,0.2,6.877714157104492,1.002197265625,10.323969793319701,150,-5.686454716324806,0.14716796875,-0.009595843192073517
,,2.14,-8.81352984,34816,69632,,,6,"continuous",2,631,0.010700922,0.0003,0.39072275161743164,0.2,33.381813049316406,0.9898902177810669,25.43500813022256,160,-5.652707195281982,0.151171875,-0.010139131220785202
,,2.29,-9.59614721,36864,71680,,,9,"continuous",3,641,0.012688801,0.0003,0.46215009689331055,0.2,5.595177173614502,0.9818403720855713,20.374238346517085,170,-5.612552571296692,0.13935546875,-0.012093925187946298
6,"PPO-PPO",1.9,-8.984812909999999,38912,79872,1,"Goal-v0",2,"continuous",1,759,0.012630921,0.0003,0.6091828644275665,0.2,6.224015235900879,0.9734864234924316,9.925201377272606,180,-5.581807687878609,0.113916015625,-0.0053563528650556694
,,2.2,-8.836971570000001,40960,81920,,,5,"continuous",2,718,0.011843467,0.0003,0.4775804281234741,0.2,7.831729412078857,0.9682071208953857,16.244441643357277,190,-5.548059199750424,0.1162109375,-0.007536282374348957
,,1.84,-8.53017586,43008,83968,,,8,"continuous",3,702,0.009010166,0.0003,0.39809876680374146,0.2,23.39086151123047,0.9641889333724976,29.876955706626177,200,-5.5286457046866415,0.119384765625,-0.007520395985193318
7,"PPO-PPO",2.64,-8.87522967,45056,92160,1,"Goal-v0",2,"continuous",1,799,0.008260094,0.0003,0.357937216758728,0.2,27.73971176147461,0.9546778202056885,27.277320264279844,210,-5.5010332122445105,0.105029296875,-0.004786075124866329
,,2.63,-9.10942203,47104,94208,,,5,"continuous",2,788,0.0115627125,0.0003,0.40445971488952637,0.2,3.8078513145446777,0.9478737115859985,24.058427691459656,220,-5.462181437015533,0.13466796875,-0.007072209037141874
,,2.3,-8.928451749999999,49152,96256,,,7,"continuous",3,795,0.01008204,0.0003,0.33368897438049316,0.2,6.617102146148682,0.9417014718055725,31.699527382850647,230,-5.437328782677651,0.121044921875,-0.007043421396519989
8,"PPO-PPO",2.35,-8.83763101,51200,104448,1,"Goal-v0",2,"continuous",1,722,0.007378846,0.0003,0.32821857929229736,0.2,5.4791975021362305,0.9428255558013916,31.6139849178493,240,-5.428130216896534,0.095849609375,-0.00513541277468903
,,2.42,-8.02672484,53248,106496,,,5,"continuous",2,761,0.00954883,0.0003,0.30916452407836914,0.2,5.956970691680908,0.9447644948959351,38.93179037719965,250,-5.427462896704673,0.106787109375,-0.00893990983022377
,,2.37,-7.405340460000002,55296,108544,,,8,"continuous",3,744,0.009550155,0.0003,0.3073039650917053,0.2,53.38762283325195,0.9460277557373047,43.256636309623715,260,-5.43757953196764,0.108154296875,-0.003079989485559054
9,"PPO-PPO",2.44,-8.096389480000001,57344,116736,1,"Goal-v0",2,"continuous",1,688,0.007228189,0.0003,0.2605665326118469,0.2,28.824411392211914,0.9445462226867676,50.33735534101724,270,-5.432692630589008,0.098388671875,-0.0038130642577016262
